id;name;producer;category;subcategory;amount;status;fillLevel;flavorTags;usageTags;styleTags;guestTags;originTags;descriptionShort;tastingNotes;bestUse;serving;sourceStatus;notes
csv-001-aperol;Aperol;Aperol;Aperitif / Bitter;Aperitif;1 Flasche;Unbekannt;100%;Bitter | Fruchtig | Zitrisch | Süß | Kräuterig;Aperitif | Spritz | Modifier;Aperitif | Bitter Aperitif | Leicht | Sommerlich;;Italien | Padua;Leuchtend orangefarbener italienischer Aperitif mit milder Bitterkeit, Orange, Kräutern, Rhabarber, Chinarinde und Enzian. Aperol wirkt leichter und zugänglicher als klassische Bitter und ist ideal für Spritz, Aperitif-Drinks und frische Sommerdrinks.;Orange | Rhabarber | Enzian | Kräuter | sanfte Bitterkeit;Aperol Spritz | Aperol Sour | leichte Aperitif-Drinks;"Gut gekühlt mit Prosecco, Soda und Orangenscheibe als Aperol Spritz servieren; alternativ in leichten Sours oder als milder Bitter-Akzent.";web-curated-v0.17;
csv-002-averna;Averna;Averna;Aperitif / Bitter;Amaro;1 Flasche;Ungeöffnet;100%;Süß | Kräuterig | Bitter | Zitrisch;Digestif | Modifier;Amaro | Digestif | Rund | Kräftig;;Italien | Sizilien;Sizilianischer Amaro mit weicher Süße, Kräutern, Gewürzen, mediterranen Aromen und feiner Zitrusnote. Averna ist vollmundig, harmonisch und eignet sich pur auf Eis ebenso wie als dunkler, runder Amaro-Akzent in Cocktails.;Kräuter | Gewürze | Zitrus | Karamell | milde Bitterkeit;Pur auf Eis | Amaro Sour | Black Manhattan Varianten;"Pur, leicht gekühlt oder auf Eis servieren; in Cocktails sparsam als runder, bittersüßer Modifier einsetzen.";web-curated-v0.17;
csv-003-campari;Campari;Campari;Aperitif / Bitter;Bitter Aperitif;1 Flasche;Ungeöffnet;100%;Bitter | Kräuterig | Zitrisch | Fruchtig;Spritz | Aperitif | Modifier;Bitter Aperitif | Klassisch | Kräftig | Spirit-Forward;;Italien | Mailand;Ikonischer roter Bitter-Aperitif aus Italien mit markanter Bitterkeit, Kräutern, Gewürzen und Orangennoten. Campari bringt Struktur, Farbe und Tiefe in Klassiker wie Negroni, Americano, Boulevardier und Campari Spritz.;Bitterorange | Kräuter | Gewürze | rote Früchte | kräftige Bitterkeit;Negroni | Americano | Boulevardier | Campari Spritz;"Für klassische Aperitif-Drinks auf Eis verwenden; im Negroni zu gleichen Teilen mit Gin und rotem Vermouth kombinieren.";web-curated-v0.17;
csv-004-aperitivo-bavarese;Aperitivo Bavarese;Lantenhammer / Chilla;Aperitif / Bitter;Aperitif;1 Flasche;Unbekannt;100%;Bitter | Zitrisch | Fruchtig | Kräuterig | Floral;Aperitif | Spritz | Modifier;Aperitif | Bitter Aperitif | Modern | Sommerlich;;Deutschland | Bayern;Bayerischer Aperitivo mit frischer Zitrusnote, Wacholder, Kräutern und floralen Akzenten. Er funktioniert als moderne, grüne Alternative für Spritz-Drinks, Hugo-Varianten und leichte Aperitif-Serves.;Zitrus | Wacholder | Kräuter | florale Noten | sanfte Bitterkeit;Spritz | Hugo-Twist | leichte Aperitif-Drinks;"Gut gekühlt auf Eis mit Prosecco oder Soda servieren; eine Zitruszeste oder frische Kräuter passen besonders gut.";web-curated-v0.17;
csv-005-cynar;Cynar;Cynar;Aperitif / Bitter;Amaro / Bitter;1 Flasche;Geöffnet;100%;Bitter | Kräuterig | Süß;Aperitif | Digestif | Spritz | Modifier;Amaro | Bitter Aperitif | Komplex | Herb;;Italien;Italienischer Amaro auf Basis von Artischocke und weiteren Botanicals. Cynar schmeckt nicht dominant nach Artischocke, sondern bittersüß, kräutrig, leicht vegetal und bringt Tiefe in Spritzes, Amaro-Drinks und dunkle Cocktail-Twists.;Kräuter | Artischocke | erdige Bitterkeit | milde Süße | vegetale Tiefe;Cynar Spritz | Amaro Highball | Bitter-Modifier;"Auf Eis mit Soda oder Tonic als Aperitif servieren; in Cocktails als komplexer, erdiger Bitter-Akzent einsetzen.";web-curated-v0.17;
csv-006-ramazzotti;Ramazzotti;Ramazzotti;Aperitif / Bitter;Amaro;1 Flasche;Unbekannt;100%;Kräuterig | Süß | Bitter | Zitrisch;Digestif | Modifier;Amaro | Digestif | Rund | Würzig;;Italien | Mailand;Klassischer italienischer Amaro mit 33 Kräutern, Gewürzen, Blüten und Früchten. Ramazzotti verbindet Orange, Kräuterwürze und bittersüße Tiefe zu einem zugänglichen Digestif und vielseitigen Amaro-Modifier.;Orange | Kräuter | Gewürze | Sternanis | milde Bitterkeit;Pur auf Eis | Amaro & Tonic | dunkle Cocktail-Twists;"Pur, auf Eis oder mit Zitruszeste servieren; in Cocktails als runder, würziger Amaro-Baustein nutzen.";web-curated-v0.17;
csv-007-avionic-lufthansa-aperitif;Avionic Lufthansa Aperitif;Brennerei Ziegler;Aperitif / Bitter;Aperitif;1 Flasche;Ungeöffnet;100%;Fruchtig | Zitrisch | Floral | Kräuterig | Süß | Bitter;Aperitif | Spritz;Aperitif | Modern | Fruchtig-Floral | Sommerlich;;Deutschland;Moderner deutscher Aperitif von Ziegler mit Pfirsich, frischer Zitrusnote, floralen Wildwiesenkräutern und feiner Bitternote. Avionic ist frisch, duftig und besonders stark in Tonic- und Spritz-Serves.;Pfirsich | Zitrus | Wildwiesenkräuter | Ringelblume | feine Bitterkeit;Avionic & Tonic | Avionic Spritz | leichte Aperitif-Highballs;"Auf Eis im Verhältnis 1:3 mit Tonic und Zitronenscheibe servieren; alternativ mit Prosecco oder Champagner als Spritz.";web-curated-v0.17;
csv-008-celery-bitters;Celery Bitters;The Bitter Truth;Bitters;Bitters;1 Flasche;Ungeöffnet;100%;Bitter | Zitrisch;Modifier;Cocktail Bitters | Savory | Komplex;;Deutschland;Würzig-vegetale Cocktail Bitters mit Sellerie, Zitronengras, Ingwer, Koriander und einer feinen herben Tiefe. Sie setzen in klaren Drinks, Martinis, Bloody Marys und Highballs einen eleganten, trockenen Savory-Akzent.;Sellerie | Zitronengras | Ingwer | Koriander | Chicorée;Bloody Mary | Martini-Twists | Gin- und Vodka-Highballs;"Tropfenweise dosieren; besonders passend zu klaren Spirituosen, Tomate, Zitrus und trockenen Highballs.";web-curated-v0.17;
csv-009-creole-bitters;Creole Bitters;The Bitter Truth;Bitters;Bitters;1 Flasche;Ungeöffnet;100%;Bitter | Fruchtig | Süß;Modifier;Cocktail Bitters | Creole | Würzig | Kräftig;;Deutschland;Creole Bitters mit Cayenne, rosa Pfeffer, Anis, Zimt, Kümmel, Fenchel und dunkler Frucht. Sie geben klassischen Stirred Drinks eine würzige, warme und leicht fruchtige Tiefe.;Cayenne | rosa Pfeffer | Anis | Zimt | getrocknete Früchte;Manhattan | Old Fashioned | Brandy Cocktail | Sazerac-Twists;"Sehr sparsam in kräftigen Cocktails einsetzen; besonders gut zu Whiskey, Brandy, Rum und aromatischen Vermouth-Drinks.";web-curated-v0.17;
csv-010-peach-bitters;Peach Bitters;The Bitter Truth;Bitters;Fruit Bitters;3 Flaschen;Unbekannt;100%;Bitter | Fruchtig | Süß;Modifier;Cocktail Bitters | Fruchtig | Aromatisch;;Deutschland;Fruchtige Cocktail Bitters mit Pfirsich- und Steinfruchtcharakter. Sie eignen sich als feiner Akzent für Sours, Spritzes, Champagner-Drinks und helle Spirituosen, wenn ein dezenter Fruchtbogen gewünscht ist.;Pfirsich | Steinfrucht | Fruchtsüße | sanfte Bitterkeit;Sours | Spritzes | Champagner-Cocktails | helle Highballs;"Tropfenweise einsetzen; besonders passend zu Gin, Vodka, Rum, Schaumwein und frischen Zitrusdrinks.";curated-v0.17;
